customer_id,name,city,signup_date,email
1,Kara,denver,2024-07-21,unknown
2,Rosa,denver,2024-07-06,rosa2@email.com
3,Grace,denver,2024-02-14,unknown
4,Carol,boston,2024-08-05,carol4@email.com
5,Henry,chicago,2024-11-17,unknown
6,Sam,seattle,2024-01-26,unknown
7,Eli,austin,2024-08-02,unknown
8,Jack,boston,2025-02-21,unknown
9,Sam,chicago,2024-04-06,sam9@email.com
10,Carol,boston,2024-01-31,carol10@email.com
11,Rosa,seattle,2025-02-01,rosa11@email.com
12,Olivia,seattle,2024-06-02,olivia12@email.com
13,Henry,denver,2024-10-21,henry13@email.com
14,Kara,chicago,2024-08-17,kara14@email.com
15,Dave,boston,2024-08-02,dave15@email.com
16,Pete,seattle,2024-01-21,unknown
17,Rosa,boston,2025-02-08,rosa17@email.com
18,Liam,boston,2024-09-11,liam18@email.com
19,Carol,austin,2024-08-30,unknown
20,Jack,chicago,2024-10-22,jack20@email.com
21,Jack,chicago,2024-07-16,jack21@email.com
22,Olivia,seattle,2024-03-27,olivia22@email.com
23,Grace,miami,2024-05-27,grace23@email.com
24,Mia,miami,2024-09-11,mia24@email.com
25,Rosa,austin,2025-03-28,rosa25@email.com
26,Rosa,austin,2024-12-27,rosa26@email.com
27,Mia,austin,2024-03-18,mia27@email.com
28,Henry,denver,2024-09-05,henry28@email.com
29,Jack,denver,2024-03-15,jack29@email.com
30,Sam,seattle,2025-05-02,sam30@email.com
31,Tina,chicago,2024-12-12,tina31@email.com
32,Rosa,seattle,2024-07-22,unknown
33,Mia,denver,2024-04-07,mia33@email.com
34,Fiona,denver,2024-06-23,unknown
35,Sam,denver,2024-10-01,sam35@email.com
36,Alice,denver,2025-03-23,alice36@email.com
37,Ivy,seattle,2024-11-04,unknown
38,Pete,portland,2024-09-02,unknown
39,Dave,chicago,2024-06-24,dave39@email.com
40,Fiona,boston,2024-01-12,fiona40@email.com
41,Liam,denver,2024-12-19,unknown
42,Quinn,austin,2025-05-15,unknown
43,Ivy,boston,2024-07-06,ivy43@email.com
44,Henry,boston,2024-10-04,henry44@email.com
45,Henry,boston,2025-02-19,henry45@email.com
46,Grace,miami,2024-05-02,grace46@email.com
47,Henry,austin,2024-09-22,henry47@email.com
48,Alice,miami,2024-05-23,alice48@email.com
49,Tina,seattle,2024-08-16,tina49@email.com
50,Liam,seattle,2024-02-11,liam50@email.com
51,Grace,seattle,2024-04-14,grace51@email.com
52,Tina,miami,2024-01-01,tina52@email.com
53,Carol,miami,2024-12-04,carol53@email.com
54,Grace,portland,2025-03-31,grace54@email.com
55,Kara,denver,2025-02-14,kara55@email.com
56,Olivia,seattle,2025-01-15,olivia56@email.com
57,Fiona,denver,2024-01-15,fiona57@email.com
58,Eli,boston,2025-02-27,eli58@email.com
59,Liam,denver,2024-10-07,unknown
60,Dave,boston,2025-01-18,dave60@email.com
