customer_id,name,city,signup_date,email
1,Kara,DENVER ,07/21/2024,
2,Rosa,denver,07/06/2024,  ROSA2@Email.com 
3,Grace,Denver,2024-02-14,
4,Carol,boston,2024-08-05,  CAROL4@Email.com 
5,Henry,Chicago ,11/17/2024,
6,Sam,seattle,01/26/2024,
7,Eli,austin,2024-08-02,
8,Jack,boston,02/21/2025,
9,Sam,Chicago ,2024-04-06,  SAM9@Email.com 
10,Carol,BOSTON,01/31/2024,  CAROL10@Email.com 
11,Rosa,seattle,2025-02-01,  ROSA11@Email.com 
12,Olivia,Seattle ,2024-06-02,  OLIVIA12@Email.com 
13,Henry,denver,2024-10-21,  HENRY13@Email.com 
14,Kara, chicago,2024-08-17,  KARA14@Email.com 
15,Dave,boston,2024-08-02,  DAVE15@Email.com 
16,Pete,seattle,01/21/2024,
17,Rosa,BOSTON,02/08/2025,  ROSA17@Email.com 
18,Liam,BOSTON,09/11/2024,  LIAM18@Email.com 
19,Carol,austin,08/30/2024,
20,Jack,Chicago ,10/22/2024,  JACK20@Email.com 
21,Jack, chicago,07/16/2024,  JACK21@Email.com 
22,Olivia,Seattle ,03/27/2024,  OLIVIA22@Email.com 
23,Grace,Miami,2024-05-27,  GRACE23@Email.com 
24,Mia,miami ,2024-09-11,  MIA24@Email.com 
25,Rosa,austin,2025-03-28,  ROSA25@Email.com 
26,Rosa,austin,2024-12-27,  ROSA26@Email.com 
27,Mia,  Austin,2024-03-18,  MIA27@Email.com 
28,Henry,Denver,09/05/2024,  HENRY28@Email.com 
29,Jack,Denver,2024-03-15,  JACK29@Email.com 
30,Sam,Seattle ,2025-05-02,  SAM30@Email.com 
31,Tina,Chicago ,12/12/2024,  TINA31@Email.com 
32,Rosa,seattle,2024-07-22,
33,Mia,Denver,2024-04-07,  MIA33@Email.com 
34,Fiona,denver,06/23/2024,
35,Sam,DENVER ,2024-10-01,  SAM35@Email.com 
36,Alice,denver,2025-03-23,  ALICE36@Email.com 
37,Ivy,Seattle ,2024-11-04,
38,Pete,Portland,2024-09-02,
39,Dave, chicago,06/24/2024,  DAVE39@Email.com 
40,Fiona,boston,2024-01-12,  FIONA40@Email.com 
41,Liam,DENVER ,12/19/2024,
42,Quinn,austin,05/15/2025,
43,Ivy,boston,07/06/2024,  IVY43@Email.com 
44,Henry,boston,10/04/2024,  HENRY44@Email.com 
45,Henry,BOSTON,02/19/2025,  HENRY45@Email.com 
46,Grace,Miami,05/02/2024,  GRACE46@Email.com 
47,Henry,  Austin,2024-09-22,  HENRY47@Email.com 
48,Alice,Miami,2024-05-23,  ALICE48@Email.com 
49,Tina,Seattle ,08/16/2024,  TINA49@Email.com 
50,Liam,Seattle ,2024-02-11,  LIAM50@Email.com 
51,Grace,Seattle ,2024-04-14,  GRACE51@Email.com 
52,Tina,miami ,2024-01-01,  TINA52@Email.com 
53,Carol,miami ,2024-12-04,  CAROL53@Email.com 
54,Grace,Portland,2025-03-31,  GRACE54@Email.com 
55,Kara,denver,02/14/2025,  KARA55@Email.com 
56,Olivia,seattle,01/15/2025,  OLIVIA56@Email.com 
57,Fiona,DENVER ,2024-01-15,  FIONA57@Email.com 
58,Eli,BOSTON,02/27/2025,  ELI58@Email.com 
59,Liam,DENVER ,10/07/2024,
60,Dave,boston,01/18/2025,  DAVE60@Email.com 
1,Kara,DENVER ,07/21/2024,
2,Rosa,denver,07/06/2024,  ROSA2@Email.com 
